source_file	seq	headword	reason
2001-2250.md	2196	丈厌	duplicate_lost
2001-2250.md	2197	丈艺	duplicate_lost
2001-2250.md	2199	富	duplicate_lost
2001-2250.md	2200	烏黒	duplicate_lost
2001-2250.md	2201	証陪	duplicate_lost
2001-2250.md	2202	典比	duplicate_lost
2001-2250.md	2203	無償	duplicate_lost
2001-2250.md	2204	典恥	duplicate_lost
2001-2250.md	2205	異從	duplicate_lost
2001-2250.md	2206	無動子衷	duplicate_lost
2001-2250.md	2207	無幸	duplicate_lost
2001-2250.md	2208	典非	duplicate_lost
2001-2250.md	2209	窯精打采	duplicate_lost
2001-2250.md	2210	窯可奉告	duplicate_lost
2001-2250.md	2211	窯頼	duplicate_lost
2001-2250.md	2212	典理奴	duplicate_lost
2001-2250.md	2213	無能為力	duplicate_lost
2001-2250.md	2214	典微不至	duplicate_lost
2001-2250.md	2215	典忧窯虑	duplicate_lost
2001-2250.md	2216	窯知	duplicate_lost
2001-2250.md	2218	务姓	duplicate_lost
2001-2250.md	2223	誤差	duplicate_lost
2001-2250.md	2224	誤解	duplicate_lost
2001-2250.md	2226	犠牲	duplicate_lost
2001-2250.md	2227	焔滅	duplicate_lost
2001-2250.md	2229	襲挙	duplicate_lost
2001-2250.md	2230	总婦	duplicate_lost
2001-2250.md	2231	細胞	duplicate_lost
2001-2250.md	2232	紬菌	duplicate_lost
2001-2250.md	2233	細鐡	duplicate_lost
2001-2250.md	2237	下马	duplicate_lost
2001-2250.md	2238	夏今誉	duplicate_lost
2001-2250.md	2240	鐡維	duplicate_lost
2001-2250.md	2241	鮮明	duplicate_lost
2001-2250.md	2242	閑话	duplicate_lost
2001-2250.md	2243	賢	duplicate_lost
2001-2250.md	2244	街接	duplicate_lost
2251-2500.md	1829	索性	duplicate_lost
2251-2500.md	1845	探讨	duplicate_lost
